GA5,GA10,GA15,GA,GO5,GO10,GO15,GO,MA5,MA10,MA15,MA,MS5,MS10,MS15,MS,aa
927.057,927.455,927.46,927.49,995.016,995.573,996.003,995.9,72.649,72.6295,72.621,72.575,56.8814,56.9183,56.9139,56.92,177
926.986,927.318,927.294,927.05,995.092,995.709,996.188,995.8208,72.6472,72.6246,72.6172,72.57,56.883,56.9171,56.9188,56.92,178
926.919,927.183,927.132,926.92,995.171,995.829,996.299,996.4099,72.6449,72.6208,72.615,72.56,56.8844,56.9138,56.9223,56.935,179
926.856,927.051,926.975,926.7,995.251,995.931,996.334,996.2517,72.642,72.6182,72.6145,72.56,56.8855,56.9088,56.9242,56.94,180
926.799,926.924,926.824,926.57,995.334,996.015,996.301,996.4,72.6386,72.6166,72.6156,72.63,56.8863,56.9023,56.9245,56.935,181
926.746,926.806,926.683,926.15,995.418,996.079,996.215,996.15,72.6345,72.6159,72.6181,72.635,56.8869,56.8947,56.923,56.925,182
926.698,926.697,926.557,926,995.502,996.124,996.095,996,72.6298,72.6157,72.6216,72.65,56.8872,56.8864,56.9197,56.905,183
926.654,926.599,926.451,926.0101,995.587,996.151,995.964,995.78,72.6245,72.6159,72.6255,72.62,56.8872,56.878,56.9149,56.905,184
926.615,926.513,926.371,926.18,995.672,996.162,995.846,996.02,72.6188,72.6162,72.6289,72.64,56.887,56.8698,56.9086,56.88,185
926.581,926.44,926.317,926.6,995.755,996.159,995.758,995.97,72.6126,72.6161,72.6312,72.6344,56.8865,56.8623,56.9012,56.9,186
926.551,926.38,926.292,926.78,995.838,996.145,995.714,995.98,72.6062,72.6156,72.6317,72.625,56.8858,56.8559,56.8928,56.88,187
926.525,926.333,926.291,927.18,995.918,996.123,995.719,995.93,72.5996,72.6142,72.6297,72.62,56.8847,56.8508,56.884,56.855,188
926.503,926.298,926.307,926.19,995.997,996.096,995.77,996.34,72.593,72.6121,72.6249,72.63,56.8835,56.8472,56.875,56.855,189
926.485,926.275,926.332,926.24,996.072,996.066,995.857,996.2151,72.5866,72.609,72.6174,72.61,56.8819,56.8452,56.8663,56.875,190
926.472,926.263,926.354,926.28,996.144,996.038,995.966,996.27,72.5806,72.605,72.6074,72.575,56.8802,56.8448,56.8581,56.855,191
